"","bird","date","task","trial","numLeft","numRight","areaLeft","areaRight","correct","choice","accuracy","RT","session","areaIncorrect","numIncorrect","areaCorrect","numCorrect","T_areaInc","T_numInc","T_areaCorr","T_numCorr","Euclidean","CityBlock"
"48","43R",2022-09-02,"n-A",48,22,6,11,21,"R","L",0,2.317,1,11,22,21,6,6,9,9,1,8.54400374531753,11
"49","43R",2022-09-02,"n-A",49,6,10,21,17,"L","L",1,0.617,1,17,10,21,6,8,4,9,1,3.16227766016838,4
"50","43R",2022-09-02,"n-A",50,6,7,21,11,"L","L",1,1.061,1,11,7,21,6,6,2,9,1,3.16227766016838,4
"51","43R",2022-09-02,"n-A",51,19,6,17,21,"R","L",0,0.591,1,17,19,21,6,8,8,9,1,7.07106781186548,8
"52","43R",2022-09-02,"n-A",52,6,7,21,17,"L","L",1,0.58,1,17,7,21,6,8,2,9,1,1.4142135623731,2
"53","43R",2022-09-02,"n-A",53,22,6,4,21,"R","R",1,0.977,1,4,22,21,6,1,9,9,1,11.3137084989848,16
"54","43R",2022-09-02,"n-A",54,7,6,4,21,"R","L",0,3.399,1,4,7,21,6,1,2,9,1,8.06225774829855,9
"55","43R",2022-09-02,"n-A",55,8,6,14,21,"R","L",0,0.57,1,14,8,21,6,7,3,9,1,2.82842712474619,4
"56","43R",2022-09-02,"n-A",56,16,6,9,21,"R","R",1,1.56,1,9,16,21,6,5,7,9,1,7.21110255092798,10
"57","43R",2022-09-02,"n-A",57,6,14,21,11,"L","L",1,0.825,1,11,14,21,6,6,6,9,1,5.8309518948453,8
"58","43R",2022-09-02,"n-A",58,10,6,6,21,"R","R",1,1.485,1,6,10,21,6,3,4,9,1,6.70820393249937,9
"59","43R",2022-09-02,"n-A",59,6,16,21,11,"L","L",1,1.685,1,11,16,21,6,6,7,9,1,6.70820393249937,9
"60","43R",2022-09-02,"n-A",60,6,6,11,21,"R","R",1,0.696,1,11,6,21,6,6,1,9,1,3,3
"61","43R",2022-09-02,"n-A",61,10,6,5,21,"R","R",1,2.12,1,5,10,21,6,2,4,9,1,7.61577310586391,10
"62","43R",2022-09-02,"n-A",62,6,19,21,9,"L","L",1,0.613,1,9,19,21,6,5,8,9,1,8.06225774829855,11
"63","43R",2022-09-02,"n-A",63,6,8,21,9,"L","L",1,0.634,1,9,8,21,6,5,3,9,1,4.47213595499958,6
"64","43R",2022-09-02,"n-A",64,6,16,21,7,"L","L",1,1.993,1,7,16,21,6,4,7,9,1,7.81024967590665,11
"65","43R",2022-09-02,"n-A",65,6,22,21,21,"L","L",1,0.507,1,21,22,21,6,9,9,9,1,8,8
"66","43R",2022-09-02,"n-A",66,19,6,7,21,"R","R",1,1.201,1,7,19,21,6,4,8,9,1,8.60232526704263,12
"67","43R",2022-09-02,"n-A",67,6,6,7,21,"R","R",1,1.505,1,7,6,21,6,4,1,9,1,5,5
"68","43R",2022-09-02,"n-A",68,14,6,11,21,"R","L",0,2.597,1,11,14,21,6,6,6,9,1,5.8309518948453,8
"69","43R",2022-09-02,"n-A",69,8,6,21,21,"R","L",0,0.928,1,21,8,21,6,9,3,9,1,2,2
"70","43R",2022-09-02,"n-A",70,19,6,4,21,"R","R",1,0.973,1,4,19,21,6,1,8,9,1,10.6301458127346,15
"71","43R",2022-09-02,"n-A",71,22,6,9,21,"R","R",1,0.459,1,9,22,21,6,5,9,9,1,8.94427190999916,12
"72","43R",2022-09-02,"n-A",72,6,19,21,14,"L","L",1,0.912,1,14,19,21,6,7,8,9,1,7.28010988928052,9
"73","43R",2022-09-02,"n-A",73,16,6,21,21,"R","L",0,1.121,1,21,16,21,6,9,7,9,1,6,6
"74","43R",2022-09-02,"n-A",74,6,16,21,17,"L","R",0,0.601,1,17,16,21,6,8,7,9,1,6.08276253029822,7
"75","43R",2022-09-02,"n-A",75,6,6,21,14,"L","L",1,1.397,1,14,6,21,6,7,1,9,1,2,2
"76","43R",2022-09-02,"n-A",76,7,6,11,21,"R","L",0,0.893,1,11,7,21,6,6,2,9,1,3.16227766016838,4
"77","43R",2022-09-02,"n-A",77,12,6,7,21,"R","R",1,2.794,1,7,12,21,6,4,5,9,1,6.40312423743285,9
"78","43R",2022-09-02,"n-A",78,6,22,21,5,"L","L",1,1.118,1,5,22,21,6,2,9,9,1,10.6301458127346,15
"79","43R",2022-09-02,"n-A",79,6,6,6,21,"R","R",1,5.933,1,6,6,21,6,3,1,9,1,6,6
"80","43R",2022-09-02,"n-A",80,12,6,9,21,"R","L",0,2.533,1,9,12,21,6,5,5,9,1,5.65685424949238,8
"81","43R",2022-09-02,"n-A",81,6,19,21,7,"L","L",1,1.385,1,7,19,21,6,4,8,9,1,8.60232526704263,12
"82","43R",2022-09-02,"n-A",82,6,22,21,7,"L","L",1,0.585,1,7,22,21,6,4,9,9,1,9.4339811320566,13
"83","43R",2022-09-02,"n-A",83,6,10,21,7,"L","R",0,3.525,1,7,10,21,6,4,4,9,1,5.8309518948453,8
"84","43R",2022-09-02,"n-A",84,6,19,21,6,"L","L",1,2.769,1,6,19,21,6,3,8,9,1,9.21954445729289,13
"85","43R",2022-09-02,"n-A",85,6,10,21,9,"L","L",1,0.625,1,9,10,21,6,5,4,9,1,5,7
"86","43R",2022-09-02,"n-A",86,14,6,6,21,"R","R",1,0.581,1,6,14,21,6,3,6,9,1,7.81024967590665,11
"87","43R",2022-09-02,"n-A",87,16,6,11,21,"R","L",0,1.258,1,11,16,21,6,6,7,9,1,6.70820393249937,9
"88","43R",2022-09-02,"n-A",88,6,7,21,21,"L","L",1,0.461,1,21,7,21,6,9,2,9,1,1,1
"89","43R",2022-09-02,"n-A",89,6,6,21,9,"L","L",1,0.617,1,9,6,21,6,5,1,9,1,4,4
"90","43R",2022-09-02,"n-A",90,22,6,14,21,"R","R",1,2.193,1,14,22,21,6,7,9,9,1,8.24621125123532,10
"91","43R",2022-09-02,"n-A",91,14,6,7,21,"R","R",1,1.764,1,7,14,21,6,4,6,9,1,7.07106781186548,10
"92","43R",2022-09-02,"n-A",92,6,22,21,11,"L","L",1,1.22,1,11,22,21,6,6,9,9,1,8.54400374531753,11
"93","43R",2022-09-02,"n-A",93,8,6,7,21,"R","R",1,0.781,1,7,8,21,6,4,3,9,1,5.3851648071345,7
"94","43R",2022-09-02,"n-A",94,6,10,21,11,"L","L",1,1.62,1,11,10,21,6,6,4,9,1,4.24264068711928,6
"95","43R",2022-09-02,"n-A",95,6,12,21,11,"L","L",1,1.364,1,11,12,21,6,6,5,9,1,5,7
"96","43R",2022-09-02,"n-A",96,8,6,17,21,"R","L",0,0.953,1,17,8,21,6,8,3,9,1,2.23606797749979,3
"97","43R",2022-09-02,"n-A",97,6,14,21,6,"L","L",1,0.841,1,6,14,21,6,3,6,9,1,7.81024967590665,11
"98","43R",2022-09-02,"n-A",98,12,6,6,21,"R","L",0,0.633,1,6,12,21,6,3,5,9,1,7.21110255092798,10
"99","43R",2022-09-02,"n-A",99,6,14,21,17,"L","L",1,0.633,1,17,14,21,6,8,6,9,1,5.09901951359278,6
"100","43R",2022-09-02,"n-A",100,6,19,21,4,"L","L",1,0.911,1,4,19,21,6,1,8,9,1,10.6301458127346,15
"101","43R",2022-09-02,"n-A",101,16,6,5,21,"R","R",1,0.637,1,5,16,21,6,2,7,9,1,9.21954445729289,13
"102","43R",2022-09-02,"n-A",102,6,22,21,14,"L","L",1,0.781,1,14,22,21,6,7,9,9,1,8.24621125123532,10
"103","43R",2022-09-02,"n-A",103,22,6,17,21,"R","L",0,0.697,1,17,22,21,6,8,9,9,1,8.06225774829855,9
"104","43R",2022-09-02,"n-A",104,6,10,21,5,"L","L",1,1.008,1,5,10,21,6,2,4,9,1,7.61577310586391,10
"105","43R",2022-09-02,"n-A",105,6,7,21,7,"L","L",1,0.711,1,7,7,21,6,4,2,9,1,5.09901951359278,6
"106","43R",2022-09-02,"n-A",106,8,6,11,21,"R","L",0,0.741,1,11,8,21,6,6,3,9,1,3.60555127546399,5
"107","43R",2022-09-02,"n-A",107,6,10,21,4,"L","L",1,0.697,1,4,10,21,6,1,4,9,1,8.54400374531753,11
"108","43R",2022-09-02,"n-A",108,14,6,21,21,"R","L",0,0.473,1,21,14,21,6,9,6,9,1,5,5
"109","43R",2022-09-02,"n-A",109,7,6,17,21,"R","R",1,1.13,1,17,7,21,6,8,2,9,1,1.4142135623731,2
"110","43R",2022-09-02,"n-A",110,6,6,4,21,"R","R",1,0.953,1,4,6,21,6,1,1,9,1,8,8
"111","43R",2022-09-02,"n-A",111,6,10,21,14,"L","L",1,0.568,1,14,10,21,6,7,4,9,1,3.60555127546399,5
"112","43R",2022-09-02,"n-A",112,6,6,9,21,"R","L",0,1.009,1,9,6,21,6,5,1,9,1,4,4
"113","43R",2022-09-02,"n-A",113,16,6,17,21,"R","R",1,0.753,1,17,16,21,6,8,7,9,1,6.08276253029822,7
"114","43R",2022-09-02,"n-A",114,22,6,5,21,"R","R",1,0.749,1,5,22,21,6,2,9,9,1,10.6301458127346,15
"115","43R",2022-09-02,"n-A",115,6,22,21,9,"L","L",1,0.901,1,9,22,21,6,5,9,9,1,8.94427190999916,12
"116","43R",2022-09-02,"n-A",116,6,16,21,6,"L","L",1,1.09,1,6,16,21,6,3,7,9,1,8.48528137423857,12
"117","43R",2022-09-02,"n-A",117,16,6,7,21,"R","R",1,1.069,1,7,16,21,6,4,7,9,1,7.81024967590665,11
"118","43R",2022-09-02,"n-A",118,6,8,21,17,"L","L",1,0.505,1,17,8,21,6,8,3,9,1,2.23606797749979,3
"119","43R",2022-09-02,"n-A",119,6,8,21,4,"L","L",1,0.565,1,4,8,21,6,1,3,9,1,8.24621125123532,10
"120","43R",2022-09-02,"n-A",120,6,12,21,9,"L","L",1,1.17,1,9,12,21,6,5,5,9,1,5.65685424949238,8
"121","43R",2022-09-02,"n-A",121,10,6,21,21,"R","L",0,0.961,1,21,10,21,6,9,4,9,1,3,3
"122","43R",2022-09-02,"n-A",122,6,14,21,7,"L","L",1,1.689,1,7,14,21,6,4,6,9,1,7.07106781186548,10
"123","43R",2022-09-02,"n-A",123,12,6,4,21,"R","R",1,0.765,1,4,12,21,6,1,5,9,1,8.94427190999916,12
"124","43R",2022-09-02,"n-A",124,6,12,21,14,"L","L",1,0.857,1,14,12,21,6,7,5,9,1,4.47213595499958,6
"125","43R",2022-09-02,"n-A",125,6,22,21,17,"L","L",1,0.884,1,17,22,21,6,8,9,9,1,8.06225774829855,9
"126","43R",2022-09-02,"n-A",126,6,14,21,5,"L","L",1,1.177,1,5,14,21,6,2,6,9,1,8.60232526704263,12
"127","43R",2022-09-02,"n-A",127,12,6,17,21,"R","L",0,0.509,1,17,12,21,6,8,5,9,1,4.12310562561766,5
"128","43R",2022-09-02,"n-A",128,6,12,21,5,"L","L",1,0.61,1,5,12,21,6,2,5,9,1,8.06225774829855,11
"129","43R",2022-09-02,"n-A",129,6,10,21,6,"L","R",0,1.461,1,6,10,21,6,3,4,9,1,6.70820393249937,9
"130","43R",2022-09-02,"n-A",130,10,6,11,21,"R","R",1,1.057,1,11,10,21,6,6,4,9,1,4.24264068711928,6
"131","43R",2022-09-02,"n-A",131,6,14,21,21,"L","L",1,0.768,1,21,14,21,6,9,6,9,1,5,5
"132","43R",2022-09-02,"n-A",132,6,7,21,4,"L","L",1,0.476,1,4,7,21,6,1,2,9,1,8.06225774829855,9
"133","43R",2022-09-02,"n-A",133,12,6,11,21,"R","R",1,1.293,1,11,12,21,6,6,5,9,1,5,7
"134","43R",2022-09-02,"n-A",134,19,6,6,21,"R","R",1,0.58,1,6,19,21,6,3,8,9,1,9.21954445729289,13
"135","43R",2022-09-02,"n-A",135,6,6,21,6,"L","L",1,0.66,1,6,6,21,6,3,1,9,1,6,6
"136","43R",2022-09-02,"n-A",136,6,8,21,21,"L","L",1,0.701,1,21,8,21,6,9,3,9,1,2,2
"137","43R",2022-09-02,"n-A",137,6,12,21,17,"L","L",1,0.752,1,17,12,21,6,8,5,9,1,4.12310562561766,5
"138","43R",2022-09-02,"n-A",138,8,6,4,21,"R","R",1,1.054,1,4,8,21,6,1,3,9,1,8.24621125123532,10
"139","43R",2022-09-02,"n-A",139,8,6,6,21,"R","R",1,1.006,1,6,8,21,6,3,3,9,1,6.32455532033676,8
"140","43R",2022-09-02,"n-A",140,6,16,21,5,"L","L",1,0.68,1,5,16,21,6,2,7,9,1,9.21954445729289,13
"141","43R",2022-09-02,"n-A",141,6,16,21,14,"L","R",0,0.721,1,14,16,21,6,7,7,9,1,6.32455532033676,8
"142","43R",2022-09-02,"n-A",142,6,22,21,4,"L","L",1,0.937,1,4,22,21,6,1,9,9,1,11.3137084989848,16
"143","43R",2022-09-02,"n-A",143,10,6,9,21,"R","R",1,0.619,1,9,10,21,6,5,4,9,1,5,7
"144","43R",2022-09-02,"n-A",144,6,8,21,5,"L","L",1,0.53,1,5,8,21,6,2,3,9,1,7.28010988928052,9
"145","43R",2022-09-02,"n-A",145,6,6,17,21,"R","R",1,0.84,1,17,6,21,6,8,1,9,1,1,1
"146","43R",2022-09-02,"n-A",146,6,19,21,21,"L","L",1,0.769,1,21,19,21,6,9,8,9,1,7,7
"147","43R",2022-09-02,"n-A",147,6,6,21,11,"L","L",1,0.521,1,11,6,21,6,6,1,9,1,3,3
"148","43R",2022-09-02,"n-A",148,6,12,21,7,"L","L",1,0.681,1,7,12,21,6,4,5,9,1,6.40312423743285,9
"149","43R",2022-09-02,"n-A",149,6,7,21,5,"L","L",1,0.863,1,5,7,21,6,2,2,9,1,7.07106781186548,8
"150","43R",2022-09-02,"n-A",150,6,22,21,6,"L","L",1,3.369,1,6,22,21,6,3,9,9,1,10,14
"151","43R",2022-09-02,"n-A",151,14,6,5,21,"R","R",1,1.385,1,5,14,21,6,2,6,9,1,8.60232526704263,12
"152","43R",2022-09-02,"n-A",152,14,6,9,21,"R","R",1,1.533,1,9,14,21,6,5,6,9,1,6.40312423743285,9
"153","43R",2022-09-02,"n-A",153,6,14,21,14,"L","L",1,1.817,1,14,14,21,6,7,6,9,1,5.3851648071345,7
"154","43R",2022-09-02,"n-A",154,22,6,21,21,"R","R",1,0.065,1,21,22,21,6,9,9,9,1,8,8
"155","43R",2022-09-02,"n-A",155,19,6,14,21,"R","R",1,0.993,1,14,19,21,6,7,8,9,1,7.28010988928052,9
"156","43R",2022-09-02,"n-A",156,7,6,6,21,"R","L",0,0.661,1,6,7,21,6,3,2,9,1,6.08276253029822,7
"157","43R",2022-09-02,"n-A",157,14,6,17,21,"R","R",1,0.597,1,17,14,21,6,8,6,9,1,5.09901951359278,6
"158","43R",2022-09-02,"n-A",158,6,14,21,9,"L","L",1,1.553,1,9,14,21,6,5,6,9,1,6.40312423743285,9
"159","43R",2022-09-02,"n-A",159,6,7,21,14,"L","L",1,0.63,1,14,7,21,6,7,2,9,1,2.23606797749979,3
"160","43R",2022-09-02,"n-A",160,6,6,21,5,"L","L",1,1.729,1,5,6,21,6,2,1,9,1,7,7
"161","43R",2022-09-03,"n-A",1,6,22,21,14,"L","R",0,6.031,2,14,22,21,6,7,9,9,1,8.24621125123532,10
"162","43R",2022-09-03,"n-A",2,12,6,6,21,"R","L",0,1.279,2,6,12,21,6,3,5,9,1,7.21110255092798,10
"163","43R",2022-09-03,"n-A",3,6,16,21,11,"L","L",1,0.3,2,11,16,21,6,6,7,9,1,6.70820393249937,9
"164","43R",2022-09-03,"n-A",4,12,6,9,21,"R","L",0,0.52,2,9,12,21,6,5,5,9,1,5.65685424949238,8
"165","43R",2022-09-03,"n-A",5,7,6,14,21,"R","L",0,0.377,2,14,7,21,6,7,2,9,1,2.23606797749979,3
"166","43R",2022-09-03,"n-A",6,6,12,21,11,"L","R",0,0.786,2,11,12,21,6,6,5,9,1,5,7
"167","43R",2022-09-03,"n-A",7,6,19,21,17,"L","L",1,1.756,2,17,19,21,6,8,8,9,1,7.07106781186548,8
"168","43R",2022-09-03,"n-A",8,6,14,21,7,"L","L",1,1.241,2,7,14,21,6,4,6,9,1,7.07106781186548,10
"169","43R",2022-09-03,"n-A",9,16,6,17,21,"R","L",0,0.629,2,17,16,21,6,8,7,9,1,6.08276253029822,7
"170","43R",2022-09-03,"n-A",10,6,16,21,5,"L","L",1,1.58,2,5,16,21,6,2,7,9,1,9.21954445729289,13
"171","43R",2022-09-03,"n-A",11,6,22,21,5,"L","L",1,0.489,2,5,22,21,6,2,9,9,1,10.6301458127346,15
"172","43R",2022-09-03,"n-A",12,7,6,4,21,"R","R",1,0.997,2,4,7,21,6,1,2,9,1,8.06225774829855,9
"173","43R",2022-09-03,"n-A",13,6,22,21,7,"L","L",1,1.004,2,7,22,21,6,4,9,9,1,9.4339811320566,13
"174","43R",2022-09-03,"n-A",14,6,22,21,21,"L","L",1,4.303,2,21,22,21,6,9,9,9,1,8,8
"175","43R",2022-09-03,"n-A",15,6,22,21,11,"L","L",1,1.948,2,11,22,21,6,6,9,9,1,8.54400374531753,11
"176","43R",2022-09-03,"n-A",16,6,12,21,9,"L","L",1,2.105,2,9,12,21,6,5,5,9,1,5.65685424949238,8
"177","43R",2022-09-03,"n-A",17,8,6,7,21,"R","L",0,1.36,2,7,8,21,6,4,3,9,1,5.3851648071345,7
"178","43R",2022-09-03,"n-A",18,6,12,21,5,"L","L",1,1.753,2,5,12,21,6,2,5,9,1,8.06225774829855,11
"179","43R",2022-09-03,"n-A",19,6,14,21,14,"L","L",1,1.076,2,14,14,21,6,7,6,9,1,5.3851648071345,7
"180","43R",2022-09-03,"n-A",20,6,14,21,9,"L","L",1,1.809,2,9,14,21,6,5,6,9,1,6.40312423743285,9
"181","43R",2022-09-03,"n-A",21,6,22,21,6,"L","L",1,1.721,2,6,22,21,6,3,9,9,1,10,14
"182","43R",2022-09-03,"n-A",22,6,16,21,14,"L","L",1,0.577,2,14,16,21,6,7,7,9,1,6.32455532033676,8
"183","43R",2022-09-03,"n-A",23,6,6,9,21,"R","L",0,1.693,2,9,6,21,6,5,1,9,1,4,4
"184","43R",2022-09-03,"n-A",24,19,6,14,21,"R","R",1,0.476,2,14,19,21,6,7,8,9,1,7.28010988928052,9
"185","43R",2022-09-03,"n-A",25,8,6,21,21,"R","L",0,1.585,2,21,8,21,6,9,3,9,1,2,2
"186","43R",2022-09-03,"n-A",26,19,6,4,21,"R","R",1,2.541,2,4,19,21,6,1,8,9,1,10.6301458127346,15
"187","43R",2022-09-03,"n-A",27,6,8,21,11,"L","L",1,0.908,2,11,8,21,6,6,3,9,1,3.60555127546399,5
"188","43R",2022-09-03,"n-A",28,6,8,21,17,"L","R",0,0.593,2,17,8,21,6,8,3,9,1,2.23606797749979,3
"189","43R",2022-09-03,"n-A",29,10,6,17,21,"R","R",1,1.116,2,17,10,21,6,8,4,9,1,3.16227766016838,4
"190","43R",2022-09-03,"n-A",30,6,16,21,4,"L","L",1,0.773,2,4,16,21,6,1,7,9,1,10,14
