"","bird","date","task","trial","numLeft","numRight","areaLeft","areaRight","correct","choice","accuracy","RT","session","areaIncorrect","numIncorrect","areaCorrect","numCorrect","T_areaInc","T_numInc","T_areaCorr","T_numCorr","Euclidean","CityBlock"
"6726","43R",2022-10-14,"n-A",6,6,16,21,21,"L","L",1,0.49,43,21,16,21,6,9,7,9,1,6,6
"6727","43R",2022-10-14,"n-A",7,6,14,21,17,"L","L",1,0.481,43,17,14,21,6,8,6,9,1,5.09901951359278,6
"6728","43R",2022-10-14,"n-A",8,10,6,7,21,"R","R",1,1.926,43,7,10,21,6,4,4,9,1,5.8309518948453,8
"6729","43R",2022-10-14,"n-A",9,12,6,7,21,"R","R",1,0.373,43,7,12,21,6,4,5,9,1,6.40312423743285,9
"6730","43R",2022-10-14,"n-A",10,10,6,11,21,"R","R",1,1.216,43,11,10,21,6,6,4,9,1,4.24264068711928,6
"6731","43R",2022-10-14,"n-A",11,14,6,14,21,"R","R",1,0.933,43,14,14,21,6,7,6,9,1,5.3851648071345,7
"6732","43R",2022-10-14,"n-A",12,12,6,17,21,"R","L",0,0.847,43,17,12,21,6,8,5,9,1,4.12310562561766,5
"6733","43R",2022-10-14,"n-A",13,16,6,7,21,"R","R",1,0.909,43,7,16,21,6,4,7,9,1,7.81024967590665,11
"6734","43R",2022-10-14,"n-A",14,19,6,7,21,"R","R",1,0.89,43,7,19,21,6,4,8,9,1,8.60232526704263,12
"6735","43R",2022-10-14,"n-A",15,6,8,21,11,"L","L",1,0.49,43,11,8,21,6,6,3,9,1,3.60555127546399,5
"6736","43R",2022-10-14,"n-A",16,14,6,17,21,"R","R",1,3.064,43,17,14,21,6,8,6,9,1,5.09901951359278,6
"6737","43R",2022-10-14,"n-A",17,19,6,17,21,"R","R",1,1.033,43,17,19,21,6,8,8,9,1,7.07106781186548,8
"6738","43R",2022-10-14,"n-A",18,8,6,17,21,"R","L",0,0.499,43,17,8,21,6,8,3,9,1,2.23606797749979,3
"6739","43R",2022-10-14,"n-A",19,14,6,5,21,"R","R",1,1.174,43,5,14,21,6,2,6,9,1,8.60232526704263,12
"6740","43R",2022-10-14,"n-A",20,22,6,11,21,"R","R",1,0.305,43,11,22,21,6,6,9,9,1,8.54400374531753,11
"6741","43R",2022-10-14,"n-A",21,6,16,21,9,"L","L",1,3.166,43,9,16,21,6,5,7,9,1,7.21110255092798,10
"6742","43R",2022-10-14,"n-A",22,6,7,21,21,"L","L",1,2.03,43,21,7,21,6,9,2,9,1,1,1
"6743","43R",2022-10-14,"n-A",23,6,12,21,6,"L","L",1,0.85,43,6,12,21,6,3,5,9,1,7.21110255092798,10
"6744","43R",2022-10-14,"n-A",24,6,8,21,17,"L","L",1,0.485,43,17,8,21,6,8,3,9,1,2.23606797749979,3
"6745","43R",2022-10-14,"n-A",25,6,14,21,14,"L","L",1,0.634,43,14,14,21,6,7,6,9,1,5.3851648071345,7
"6746","43R",2022-10-14,"n-A",26,6,8,21,6,"L","L",1,0.485,43,6,8,21,6,3,3,9,1,6.32455532033676,8
"6747","43R",2022-10-14,"n-A",27,6,14,21,5,"L","L",1,1.774,43,5,14,21,6,2,6,9,1,8.60232526704263,12
"6748","43R",2022-10-14,"n-A",28,6,19,21,5,"L","L",1,0.469,43,5,19,21,6,2,8,9,1,9.89949493661167,14
"6749","43R",2022-10-14,"n-A",29,7,6,14,21,"R","L",0,2.814,43,14,7,21,6,7,2,9,1,2.23606797749979,3
"6750","43R",2022-10-14,"n-A",30,6,14,21,6,"L","L",1,0.848,43,6,14,21,6,3,6,9,1,7.81024967590665,11
"6751","43R",2022-10-14,"n-A",31,6,7,21,5,"L","L",1,1.173,43,5,7,21,6,2,2,9,1,7.07106781186548,8
"6752","43R",2022-10-14,"n-A",32,6,19,21,21,"L","L",1,0.469,43,21,19,21,6,9,8,9,1,7,7
"6753","43R",2022-10-14,"n-A",33,6,7,21,4,"L","L",1,1.199,43,4,7,21,6,1,2,9,1,8.06225774829855,9
"6754","43R",2022-10-14,"n-A",34,12,6,14,21,"R","R",1,0.892,43,14,12,21,6,7,5,9,1,4.47213595499958,6
"6755","43R",2022-10-14,"n-A",35,6,19,21,14,"L","L",1,0.51,43,14,19,21,6,7,8,9,1,7.28010988928052,9
"6756","43R",2022-10-14,"n-A",36,6,14,21,21,"L","L",1,0.522,43,21,14,21,6,9,6,9,1,5,5
"6757","43R",2022-10-14,"n-A",37,6,6,21,9,"L","L",1,0.503,43,9,6,21,6,5,1,9,1,4,4
"6758","43R",2022-10-14,"n-A",38,6,7,21,17,"L","L",1,1.178,43,17,7,21,6,8,2,9,1,1.4142135623731,2
"6759","43R",2022-10-14,"n-A",39,6,6,7,21,"R","R",1,0.902,43,7,6,21,6,4,1,9,1,5,5
"6760","43R",2022-10-14,"n-A",40,6,6,21,7,"L","L",1,0.83,43,7,6,21,6,4,1,9,1,5,5
"6761","43R",2022-10-14,"n-A",41,22,6,4,21,"R","R",1,0.921,43,4,22,21,6,1,9,9,1,11.3137084989848,16
"6762","43R",2022-10-14,"n-A",42,6,19,21,6,"L","L",1,0.463,43,6,19,21,6,3,8,9,1,9.21954445729289,13
"6763","43R",2022-10-14,"n-A",43,16,6,11,21,"R","R",1,2.869,43,11,16,21,6,6,7,9,1,6.70820393249937,9
"6764","43R",2022-10-14,"n-A",44,6,22,21,6,"L","L",1,0.893,43,6,22,21,6,3,9,9,1,10,14
"6765","43R",2022-10-14,"n-A",45,22,6,21,21,"R","R",1,1.569,43,21,22,21,6,9,9,9,1,8,8
"6766","43R",2022-10-14,"n-A",46,10,6,5,21,"R","R",1,0.578,43,5,10,21,6,2,4,9,1,7.61577310586391,10
"6767","43R",2022-10-14,"n-A",47,10,6,9,21,"R","R",1,0.881,43,9,10,21,6,5,4,9,1,5,7
"6768","43R",2022-10-14,"n-A",48,7,6,4,21,"R","R",1,0.976,43,4,7,21,6,1,2,9,1,8.06225774829855,9
"6769","43R",2022-10-14,"n-A",49,6,6,11,21,"R","R",1,1.234,43,11,6,21,6,6,1,9,1,3,3
"6770","43R",2022-10-14,"n-A",50,6,14,21,7,"L","L",1,0.373,43,7,14,21,6,4,6,9,1,7.07106781186548,10
"6771","43R",2022-10-14,"n-A",51,6,6,14,21,"R","L",0,0.49,43,14,6,21,6,7,1,9,1,2,2
"6772","43R",2022-10-14,"n-A",52,6,16,21,11,"L","L",1,0.492,43,11,16,21,6,6,7,9,1,6.70820393249937,9
"6773","43R",2022-10-14,"n-A",53,6,6,17,21,"R","L",0,0.519,43,17,6,21,6,8,1,9,1,1,1
"6774","43R",2022-10-14,"n-A",54,6,10,21,7,"L","L",1,0.857,43,7,10,21,6,4,4,9,1,5.8309518948453,8
"6775","43R",2022-10-14,"n-A",55,6,12,21,4,"L","L",1,0.859,43,4,12,21,6,1,5,9,1,8.94427190999916,12
"6776","43R",2022-10-14,"n-A",56,6,22,21,9,"L","L",1,0.497,43,9,22,21,6,5,9,9,1,8.94427190999916,12
"6777","43R",2022-10-14,"n-A",57,6,8,21,9,"L","L",1,1.437,43,9,8,21,6,5,3,9,1,4.47213595499958,6
"6778","43R",2022-10-14,"n-A",58,10,6,6,21,"R","R",1,0.601,43,6,10,21,6,3,4,9,1,6.70820393249937,9
"6779","43R",2022-10-14,"n-A",59,6,16,21,7,"L","L",1,0.636,43,7,16,21,6,4,7,9,1,7.81024967590665,11
"6780","43R",2022-10-14,"n-A",60,6,10,21,17,"L","L",1,0.489,43,17,10,21,6,8,4,9,1,3.16227766016838,4
"6781","43R",2022-10-14,"n-A",61,6,7,21,6,"L","L",1,0.979,43,6,7,21,6,3,2,9,1,6.08276253029822,7
"6782","43R",2022-10-14,"n-A",62,19,6,6,21,"R","R",1,3.7,43,6,19,21,6,3,8,9,1,9.21954445729289,13
"6783","43R",2022-10-14,"n-A",63,6,8,21,21,"L","L",1,0.642,43,21,8,21,6,9,3,9,1,2,2
"6784","43R",2022-10-14,"n-A",64,6,19,21,9,"L","L",1,0.536,43,9,19,21,6,5,8,9,1,8.06225774829855,11
"6785","43R",2022-10-14,"n-A",65,7,6,9,21,"R","R",1,0.634,43,9,7,21,6,5,2,9,1,4.12310562561766,5
"6786","43R",2022-10-14,"n-A",66,16,6,5,21,"R","R",1,0.862,43,5,16,21,6,2,7,9,1,9.21954445729289,13
"6787","43R",2022-10-14,"n-A",67,6,10,21,9,"L","L",1,0.514,43,9,10,21,6,5,4,9,1,5,7
"6788","43R",2022-10-14,"n-A",68,19,6,14,21,"R","R",1,0.613,43,14,19,21,6,7,8,9,1,7.28010988928052,9
"6789","43R",2022-10-14,"n-A",69,6,10,21,6,"L","L",1,0.505,43,6,10,21,6,3,4,9,1,6.70820393249937,9
"6790","43R",2022-10-14,"n-A",70,16,6,9,21,"R","R",1,1.837,43,9,16,21,6,5,7,9,1,7.21110255092798,10
"6791","43R",2022-10-14,"n-A",71,10,6,14,21,"R","R",1,0.521,43,14,10,21,6,7,4,9,1,3.60555127546399,5
"6792","43R",2022-10-14,"n-A",72,10,6,21,21,"R","L",0,0.501,43,21,10,21,6,9,4,9,1,3,3
"6793","43R",2022-10-14,"n-A",73,6,12,21,9,"L","L",1,0.496,43,9,12,21,6,5,5,9,1,5.65685424949238,8
"6794","43R",2022-10-14,"n-A",74,16,6,6,21,"R","R",1,0.833,43,6,16,21,6,3,7,9,1,8.48528137423857,12
"6795","43R",2022-10-14,"n-A",75,22,6,14,21,"R","R",1,1.269,43,14,22,21,6,7,9,9,1,8.24621125123532,10
"6796","43R",2022-10-14,"n-A",76,6,19,21,4,"L","L",1,0.562,43,4,19,21,6,1,8,9,1,10.6301458127346,15
"6797","43R",2022-10-14,"n-A",77,12,6,11,21,"R","R",1,0.31,43,11,12,21,6,6,5,9,1,5,7
"6798","43R",2022-10-14,"n-A",78,6,10,21,4,"L","L",1,1.968,43,4,10,21,6,1,4,9,1,8.54400374531753,11
"6799","43R",2022-10-14,"n-A",79,6,19,21,11,"L","L",1,0.486,43,11,19,21,6,6,8,9,1,7.61577310586391,10
"6800","43R",2022-10-14,"n-A",80,6,7,21,7,"L","L",1,1.182,43,7,7,21,6,4,2,9,1,5.09901951359278,6
"6801","43R",2022-10-14,"n-A",81,6,6,21,14,"L","L",1,1.189,43,14,6,21,6,7,1,9,1,2,2
"6802","43R",2022-10-14,"n-A",82,6,10,21,14,"L","L",1,0.886,43,14,10,21,6,7,4,9,1,3.60555127546399,5
"6803","43R",2022-10-14,"n-A",83,16,6,21,21,"R","R",1,0.306,43,21,16,21,6,9,7,9,1,6,6
"6804","43R",2022-10-14,"n-A",84,14,6,7,21,"R","R",1,1.741,43,7,14,21,6,4,6,9,1,7.07106781186548,10
"6805","43R",2022-10-14,"n-A",85,8,6,7,21,"R","R",1,2.709,43,7,8,21,6,4,3,9,1,5.3851648071345,7
"6806","43R",2022-10-14,"n-A",86,14,6,11,21,"R","R",1,0.313,43,11,14,21,6,6,6,9,1,5.8309518948453,8
"6807","43R",2022-10-14,"n-A",87,7,6,21,21,"R","L",0,0.85,43,21,7,21,6,9,2,9,1,1,1
"6808","43R",2022-10-14,"n-A",88,19,6,21,21,"R","L",0,0.541,43,21,19,21,6,9,8,9,1,7,7
"6809","43R",2022-10-14,"n-A",89,6,14,21,11,"L","L",1,0.891,43,11,14,21,6,6,6,9,1,5.8309518948453,8
"6810","43R",2022-10-14,"n-A",90,16,6,17,21,"R","R",1,0.945,43,17,16,21,6,8,7,9,1,6.08276253029822,7
"6811","43R",2022-10-14,"n-A",91,16,6,4,21,"R","R",1,0.814,43,4,16,21,6,1,7,9,1,10,14
"6812","43R",2022-10-14,"n-A",92,6,8,21,14,"L","L",1,0.798,43,14,8,21,6,7,3,9,1,2.82842712474619,4
"6813","43R",2022-10-14,"n-A",93,6,6,21,4,"L","L",1,1.862,43,4,6,21,6,1,1,9,1,8,8
"6814","43R",2022-10-14,"n-A",94,19,6,9,21,"R","R",1,1.105,43,9,19,21,6,5,8,9,1,8.06225774829855,11
"6815","43R",2022-10-14,"n-A",95,6,14,21,9,"L","R",0,1.534,43,9,14,21,6,5,6,9,1,6.40312423743285,9
"6816","43R",2022-10-14,"n-A",96,6,12,21,5,"L","L",1,0.586,43,5,12,21,6,2,5,9,1,8.06225774829855,11
"6817","43R",2022-10-14,"n-A",97,6,16,21,5,"L","L",1,1.748,43,5,16,21,6,2,7,9,1,9.21954445729289,13
"6818","43R",2022-10-14,"n-A",98,6,22,21,21,"L","L",1,0.893,43,21,22,21,6,9,9,9,1,8,8
"6819","43R",2022-10-14,"n-A",99,6,22,21,7,"L","L",1,1.432,43,7,22,21,6,4,9,9,1,9.4339811320566,13
"6820","43R",2022-10-14,"n-A",100,6,10,21,5,"L","L",1,1.325,43,5,10,21,6,2,4,9,1,7.61577310586391,10
"6821","43R",2022-10-14,"n-A",101,7,6,7,21,"R","R",1,1.818,43,7,7,21,6,4,2,9,1,5.09901951359278,6
"6822","43R",2022-10-14,"n-A",102,6,12,21,21,"L","L",1,0.466,43,21,12,21,6,9,5,9,1,4,4
"6823","43R",2022-10-14,"n-A",103,8,6,11,21,"R","R",1,0.99,43,11,8,21,6,6,3,9,1,3.60555127546399,5
"6824","43R",2022-10-14,"n-A",104,6,14,21,4,"L","L",1,0.55,43,4,14,21,6,1,6,9,1,9.4339811320566,13
"6825","43R",2022-10-14,"n-A",105,6,19,21,7,"L","L",1,0.335,43,7,19,21,6,4,8,9,1,8.60232526704263,12
"6826","43R",2022-10-14,"n-A",106,6,8,21,4,"L","L",1,0.549,43,4,8,21,6,1,3,9,1,8.24621125123532,10
"6827","43R",2022-10-14,"n-A",107,6,6,21,6,"L","L",1,0.49,43,6,6,21,6,3,1,9,1,6,6
"6828","43R",2022-10-14,"n-A",108,6,8,21,7,"L","L",1,0.333,43,7,8,21,6,4,3,9,1,5.3851648071345,7
"6829","43R",2022-10-14,"n-A",109,12,6,6,21,"R","R",1,0.502,43,6,12,21,6,3,5,9,1,7.21110255092798,10
"6830","43R",2022-10-14,"n-A",110,14,6,21,21,"R","R",1,1.382,43,21,14,21,6,9,6,9,1,5,5
"6831","43R",2022-10-14,"n-A",111,7,6,5,21,"R","R",1,0.574,43,5,7,21,6,2,2,9,1,7.07106781186548,8
"6832","43R",2022-10-14,"n-A",112,10,6,4,21,"R","R",1,0.558,43,4,10,21,6,1,4,9,1,8.54400374531753,11
"6833","43R",2022-10-14,"n-A",113,8,6,6,21,"R","R",1,0.522,43,6,8,21,6,3,3,9,1,6.32455532033676,8
"6834","43R",2022-10-14,"n-A",114,8,6,14,21,"R","R",1,2.67,43,14,8,21,6,7,3,9,1,2.82842712474619,4
"6835","43R",2022-10-14,"n-A",115,19,6,4,21,"R","R",1,0.729,43,4,19,21,6,1,8,9,1,10.6301458127346,15
"6836","43R",2022-10-14,"n-A",116,6,6,9,21,"R","L",0,0.377,43,9,6,21,6,5,1,9,1,4,4
"6837","43R",2022-10-14,"n-A",117,7,6,11,21,"R","R",1,1.19,43,11,7,21,6,6,2,9,1,3.16227766016838,4
"6838","43R",2022-10-14,"n-A",118,14,6,6,21,"R","R",1,1.132,43,6,14,21,6,3,6,9,1,7.81024967590665,11
"6839","43R",2022-10-14,"n-A",119,6,8,21,5,"L","L",1,0.545,43,5,8,21,6,2,3,9,1,7.28010988928052,9
"6840","43R",2022-10-14,"n-A",120,6,22,21,17,"L","L",1,0.489,43,17,22,21,6,8,9,9,1,8.06225774829855,9
"6841","43R",2022-10-14,"n-A",121,22,6,7,21,"R","R",1,0.653,43,7,22,21,6,4,9,9,1,9.4339811320566,13
"6842","43R",2022-10-14,"n-A",122,6,22,21,14,"L","L",1,0.849,43,14,22,21,6,7,9,9,1,8.24621125123532,10
"6843","43R",2022-10-14,"n-A",123,8,6,21,21,"R","L",0,0.525,43,21,8,21,6,9,3,9,1,2,2
"6844","43R",2022-10-14,"n-A",124,6,12,21,11,"L","L",1,0.881,43,11,12,21,6,6,5,9,1,5,7
"6845","43R",2022-10-14,"n-A",125,22,6,17,21,"R","R",1,0.427,43,17,22,21,6,8,9,9,1,8.06225774829855,9
"6846","43R",2022-10-14,"n-A",126,6,7,21,14,"L","L",1,2.209,43,14,7,21,6,7,2,9,1,2.23606797749979,3
"6847","43R",2022-10-14,"n-A",127,6,16,21,17,"L","L",1,1.745,43,17,16,21,6,8,7,9,1,6.08276253029822,7
"6848","43R",2022-10-14,"n-A",128,19,6,5,21,"R","R",1,0.913,43,5,19,21,6,2,8,9,1,9.89949493661167,14
"6849","43R",2022-10-14,"n-A",129,6,22,21,11,"L","L",1,0.897,43,11,22,21,6,6,9,9,1,8.54400374531753,11
"6850","43R",2022-10-14,"n-A",130,6,6,21,11,"L","L",1,2.697,43,11,6,21,6,6,1,9,1,3,3
"6851","43R",2022-10-14,"n-A",131,6,16,21,4,"L","L",1,0.488,43,4,16,21,6,1,7,9,1,10,14
"6852","43R",2022-10-14,"n-A",132,16,6,14,21,"R","R",1,0.621,43,14,16,21,6,7,7,9,1,6.32455532033676,8
"6853","43R",2022-10-14,"n-A",133,6,22,21,4,"L","L",1,1.897,43,4,22,21,6,1,9,9,1,11.3137084989848,16
"6854","43R",2022-10-14,"n-A",134,6,10,21,11,"L","L",1,0.495,43,11,10,21,6,6,4,9,1,4.24264068711928,6
"6855","43R",2022-10-14,"n-A",135,22,6,6,21,"R","R",1,1.624,43,6,22,21,6,3,9,9,1,10,14
"6856","43R",2022-10-14,"n-A",136,6,16,21,14,"L","L",1,0.466,43,14,16,21,6,7,7,9,1,6.32455532033676,8
"6857","43R",2022-10-14,"n-A",137,6,6,6,21,"R","R",1,0.333,43,6,6,21,6,3,1,9,1,6,6
"6858","43R",2022-10-14,"n-A",138,6,6,5,21,"R","R",1,0.537,43,5,6,21,6,2,1,9,1,7,7
"6859","43R",2022-10-14,"n-A",139,6,12,21,17,"L","L",1,1.567,43,17,12,21,6,8,5,9,1,4.12310562561766,5
"6860","43R",2022-10-14,"n-A",140,12,6,21,21,"R","L",0,0.898,43,21,12,21,6,9,5,9,1,4,4
"6861","43R",2022-10-14,"n-A",141,6,6,21,5,"L","L",1,0.614,43,5,6,21,6,2,1,9,1,7,7
"6862","43R",2022-10-14,"n-A",142,14,6,4,21,"R","R",1,0.578,43,4,14,21,6,1,6,9,1,9.4339811320566,13
"6863","43R",2022-10-14,"n-A",143,6,12,21,7,"L","L",1,0.705,43,7,12,21,6,4,5,9,1,6.40312423743285,9
"6864","43R",2022-10-14,"n-A",144,8,6,4,21,"R","R",1,0.964,43,4,8,21,6,1,3,9,1,8.24621125123532,10
"6865","43R",2022-10-14,"n-A",145,22,6,5,21,"R","R",1,0.309,43,5,22,21,6,2,9,9,1,10.6301458127346,15
"6866","43R",2022-10-14,"n-A",146,12,6,9,21,"R","R",1,0.405,43,9,12,21,6,5,5,9,1,5.65685424949238,8
"6867","43R",2022-10-14,"n-A",147,6,19,21,17,"L","L",1,0.897,43,17,19,21,6,8,8,9,1,7.07106781186548,8
"6868","43R",2022-10-14,"n-A",148,19,6,11,21,"R","R",1,0.356,43,11,19,21,6,6,8,9,1,7.61577310586391,10
"6869","43R",2022-10-14,"n-A",149,14,6,9,21,"R","R",1,0.634,43,9,14,21,6,5,6,9,1,6.40312423743285,9
"6870","43R",2022-10-14,"n-A",150,6,16,21,6,"L","L",1,0.549,43,6,16,21,6,3,7,9,1,8.48528137423857,12
"6871","43R",2022-10-14,"n-A",151,8,6,9,21,"R","R",1,0.61,43,9,8,21,6,5,3,9,1,4.47213595499958,6
"6872","43R",2022-10-14,"n-A",152,6,10,21,21,"L","L",1,0.409,43,21,10,21,6,9,4,9,1,3,3
"6873","43R",2022-10-14,"n-A",153,6,7,21,9,"L","L",1,1.017,43,9,7,21,6,5,2,9,1,4.12310562561766,5
"6874","43R",2022-10-14,"n-A",154,7,6,6,21,"R","R",1,1.111,43,6,7,21,6,3,2,9,1,6.08276253029822,7
"6875","43R",2022-10-14,"n-A",155,10,6,17,21,"R","L",0,0.365,43,17,10,21,6,8,4,9,1,3.16227766016838,4
"6876","43R",2022-10-14,"n-A",156,6,12,21,14,"L","L",1,0.968,43,14,12,21,6,7,5,9,1,4.47213595499958,6
"6877","43R",2022-10-14,"n-A",157,8,6,5,21,"R","R",1,0.469,43,5,8,21,6,2,3,9,1,7.28010988928052,9
"6878","43R",2022-10-14,"n-A",158,12,6,4,21,"R","R",1,0.846,43,4,12,21,6,1,5,9,1,8.94427190999916,12
"6879","43R",2022-10-14,"n-A",159,6,7,21,11,"L","L",1,0.345,43,11,7,21,6,6,2,9,1,3.16227766016838,4
"6880","43R",2022-10-14,"n-A",160,6,22,21,5,"L","L",1,2.376,43,5,22,21,6,2,9,9,1,10.6301458127346,15
"6881","43R",2022-10-15,"n-A",1,6,16,21,14,"L","R",0,0.48,44,14,16,21,6,7,7,9,1,6.32455532033676,8
"6882","43R",2022-10-15,"n-A",2,6,16,21,6,"L","L",1,1.857,44,6,16,21,6,3,7,9,1,8.48528137423857,12
"6883","43R",2022-10-15,"n-A",3,6,7,21,21,"L","L",1,0.641,44,21,7,21,6,9,2,9,1,1,1
"6884","43R",2022-10-15,"n-A",4,8,6,14,21,"R","R",1,0.403,44,14,8,21,6,7,3,9,1,2.82842712474619,4
"6885","43R",2022-10-15,"n-A",5,6,16,21,7,"L","R",0,0.417,44,7,16,21,6,4,7,9,1,7.81024967590665,11
"6886","43R",2022-10-15,"n-A",6,6,6,21,17,"L","L",1,0.861,44,17,6,21,6,8,1,9,1,1,1
"6887","43R",2022-10-15,"n-A",7,22,6,17,21,"R","L",0,0.345,44,17,22,21,6,8,9,9,1,8.06225774829855,9
"6888","43R",2022-10-15,"n-A",8,12,6,14,21,"R","R",1,1.325,44,14,12,21,6,7,5,9,1,4.47213595499958,6
"6889","43R",2022-10-15,"n-A",9,12,6,6,21,"R","R",1,1.565,44,6,12,21,6,3,5,9,1,7.21110255092798,10
"6890","43R",2022-10-15,"n-A",10,22,6,6,21,"R","R",1,0.744,44,6,22,21,6,3,9,9,1,10,14
"6891","43R",2022-10-15,"n-A",11,7,6,5,21,"R","R",1,1.518,44,5,7,21,6,2,2,9,1,7.07106781186548,8
"6892","43R",2022-10-15,"n-A",12,14,6,11,21,"R","R",1,3.549,44,11,14,21,6,6,6,9,1,5.8309518948453,8
"6893","43R",2022-10-15,"n-A",13,6,8,21,21,"L","L",1,6.899,44,21,8,21,6,9,3,9,1,2,2
"6894","43R",2022-10-15,"n-A",14,7,6,21,21,"R","L",0,0.565,44,21,7,21,6,9,2,9,1,1,1
"6895","43R",2022-10-15,"n-A",15,6,6,9,21,"R","R",1,1.203,44,9,6,21,6,5,1,9,1,4,4
"6896","43R",2022-10-15,"n-A",16,19,6,21,21,"R","R",1,1.681,44,21,19,21,6,9,8,9,1,7,7
"6897","43R",2022-10-15,"n-A",17,16,6,21,21,"R","R",1,0.918,44,21,16,21,6,9,7,9,1,6,6
"6898","43R",2022-10-15,"n-A",18,6,19,21,11,"L","L",1,1.294,44,11,19,21,6,6,8,9,1,7.61577310586391,10
"6899","43R",2022-10-15,"n-A",19,10,6,21,21,"R","L",0,1.209,44,21,10,21,6,9,4,9,1,3,3
"6900","43R",2022-10-15,"n-A",20,6,8,21,5,"L","L",1,0.981,44,5,8,21,6,2,3,9,1,7.28010988928052,9
"6901","43R",2022-10-15,"n-A",21,6,10,21,4,"L","L",1,2.209,44,4,10,21,6,1,4,9,1,8.54400374531753,11
"6902","43R",2022-10-15,"n-A",22,6,14,21,11,"L","L",1,1.266,44,11,14,21,6,6,6,9,1,5.8309518948453,8
"6903","43R",2022-10-15,"n-A",23,6,14,21,5,"L","L",1,0.871,44,5,14,21,6,2,6,9,1,8.60232526704263,12
"6904","43R",2022-10-15,"n-A",24,6,14,21,4,"L","L",1,2.056,44,4,14,21,6,1,6,9,1,9.4339811320566,13
"6905","43R",2022-10-15,"n-A",25,6,22,21,14,"L","L",1,0.489,44,14,22,21,6,7,9,9,1,8.24621125123532,10
"6906","43R",2022-10-15,"n-A",26,7,6,4,21,"R","R",1,2.817,44,4,7,21,6,1,2,9,1,8.06225774829855,9
"6907","43R",2022-10-15,"n-A",27,12,6,9,21,"R","R",1,1.994,44,9,12,21,6,5,5,9,1,5.65685424949238,8
"6908","43R",2022-10-15,"n-A",28,6,16,21,4,"L","L",1,1.141,44,4,16,21,6,1,7,9,1,10,14
"6909","43R",2022-10-15,"n-A",29,6,8,21,17,"L","L",1,0.425,44,17,8,21,6,8,3,9,1,2.23606797749979,3
"6910","43R",2022-10-15,"n-A",30,16,6,14,21,"R","R",1,1.561,44,14,16,21,6,7,7,9,1,6.32455532033676,8
"6911","43R",2022-10-15,"n-A",31,6,16,21,21,"L","L",1,0.648,44,21,16,21,6,9,7,9,1,6,6
"6912","43R",2022-10-15,"n-A",32,12,6,11,21,"R","R",1,0.713,44,11,12,21,6,6,5,9,1,5,7
"6913","43R",2022-10-15,"n-A",33,14,6,4,21,"R","R",1,1.594,44,4,14,21,6,1,6,9,1,9.4339811320566,13
"6914","43R",2022-10-15,"n-A",34,6,6,21,11,"L","L",1,0.825,44,11,6,21,6,6,1,9,1,3,3
"6915","43R",2022-10-15,"n-A",35,6,7,21,17,"L","L",1,0.977,44,17,7,21,6,8,2,9,1,1.4142135623731,2
"6916","43R",2022-10-15,"n-A",36,6,6,21,7,"L","L",1,0.566,44,7,6,21,6,4,1,9,1,5,5
"6917","43R",2022-10-15,"n-A",37,8,6,4,21,"R","R",1,0.621,44,4,8,21,6,1,3,9,1,8.24621125123532,10
"6918","43R",2022-10-15,"n-A",38,16,6,11,21,"R","R",1,1.113,44,11,16,21,6,6,7,9,1,6.70820393249937,9
"6919","43R",2022-10-15,"n-A",39,6,6,21,4,"L","L",1,2.317,44,4,6,21,6,1,1,9,1,8,8
"6920","43R",2022-10-15,"n-A",40,6,10,21,11,"L","L",1,0.621,44,11,10,21,6,6,4,9,1,4.24264068711928,6
"6921","43R",2022-10-15,"n-A",41,6,7,21,6,"L","L",1,0.537,44,6,7,21,6,3,2,9,1,6.08276253029822,7
"6922","43R",2022-10-15,"n-A",42,12,6,4,21,"R","R",1,0.641,44,4,12,21,6,1,5,9,1,8.94427190999916,12
"6923","43R",2022-10-15,"n-A",43,14,6,6,21,"R","R",1,1.004,44,6,14,21,6,3,6,9,1,7.81024967590665,11
"6924","43R",2022-10-15,"n-A",44,19,6,5,21,"R","R",1,0.521,44,5,19,21,6,2,8,9,1,9.89949493661167,14
"6925","43R",2022-10-15,"n-A",45,6,12,21,6,"L","L",1,2.42,44,6,12,21,6,3,5,9,1,7.21110255092798,10
"6926","43R",2022-10-15,"n-A",46,6,12,21,17,"L","L",1,0.466,44,17,12,21,6,8,5,9,1,4.12310562561766,5
"6927","43R",2022-10-15,"n-A",47,6,8,21,11,"L","L",1,0.33,44,11,8,21,6,6,3,9,1,3.60555127546399,5
"6928","43R",2022-10-15,"n-A",48,12,6,7,21,"R","R",1,1.001,44,7,12,21,6,4,5,9,1,6.40312423743285,9
"6929","43R",2022-10-15,"n-A",49,6,8,21,9,"L","L",1,0.882,44,9,8,21,6,5,3,9,1,4.47213595499958,6
"6930","43R",2022-10-15,"n-A",50,10,6,7,21,"R","R",1,0.873,44,7,10,21,6,4,4,9,1,5.8309518948453,8
"6931","43R",2022-10-15,"n-A",51,22,6,5,21,"R","R",1,1.36,44,5,22,21,6,2,9,9,1,10.6301458127346,15
"6932","43R",2022-10-15,"n-A",52,6,12,21,14,"L","L",1,1.882,44,14,12,21,6,7,5,9,1,4.47213595499958,6
"6933","43R",2022-10-15,"n-A",53,7,6,7,21,"R","R",1,0.665,44,7,7,21,6,4,2,9,1,5.09901951359278,6
