"","bird","session","accuracy","Euclidean","CityBlock"
"172","43R",2,1,8.06225774829855,9
"173","43R",2,1,9.4339811320566,13
"174","43R",2,1,8,8
"175","43R",2,1,8.54400374531753,11
"176","43R",2,1,5.65685424949238,8
"177","43R",2,0,5.3851648071345,7
"178","43R",2,1,8.06225774829855,11
"179","43R",2,1,5.3851648071345,7
"180","43R",2,1,6.40312423743285,9
"181","43R",2,1,10,14
"182","43R",2,1,6.32455532033676,8
"183","43R",2,0,4,4
"184","43R",2,1,7.28010988928052,9
"185","43R",2,0,2,2
"186","43R",2,1,10.6301458127346,15
"187","43R",2,1,3.60555127546399,5
"188","43R",2,0,2.23606797749979,3
"189","43R",2,1,3.16227766016838,4
"190","43R",2,1,10,14
"191","43R",2,0,5,5
"192","43R",2,1,4.12310562561766,5
"193","43R",2,1,7.28010988928052,9
"194","43R",2,1,7.21110255092798,10
"195","43R",2,1,8.54400374531753,11
"196","43R",2,1,6.40312423743285,9
"197","43R",2,0,5.3851648071345,7
"198","43R",2,1,8.24621125123532,10
"199","43R",2,0,2,2
"200","43R",2,1,6.08276253029822,7
"201","43R",2,1,5.8309518948453,8
"202","43R",2,0,8.60232526704263,12
"203","43R",2,1,6.70820393249937,9
"204","43R",2,0,7.81024967590665,11
"205","43R",2,0,6,6
"206","43R",2,1,10,14
"207","43R",2,1,3.16227766016838,4
"208","43R",2,1,8.06225774829855,11
"209","43R",2,1,10.6301458127346,15
"210","43R",2,1,5.8309518948453,8
"211","43R",2,1,9.4339811320566,13
"212","43R",2,1,9.89949493661167,14
"213","43R",2,1,1.4142135623731,2
"214","43R",2,1,7.28010988928052,9
"215","43R",2,1,7.61577310586391,10
"216","43R",2,1,8.06225774829855,11
"217","43R",2,1,9.4339811320566,13
"218","43R",2,1,8,8
"219","43R",2,1,8.94427190999916,12
"220","43R",2,1,11.3137084989848,16
"221","43R",2,1,9.4339811320566,13
"222","43R",2,1,6.40312423743285,9
"223","43R",2,1,7.61577310586391,10
"224","43R",2,1,8.60232526704263,12
"225","43R",2,1,5,7
"226","43R",2,1,4,4
"227","43R",2,1,9.89949493661167,14
"228","43R",2,1,8.48528137423857,12
"229","43R",2,1,11.3137084989848,16
"230","43R",2,1,8.94427190999916,12
"231","43R",2,0,3.16227766016838,4
"232","43R",2,0,5,5
"233","43R",2,1,3.60555127546399,5
"234","43R",2,0,7,7
"235","43R",2,1,7.07106781186548,10
"236","43R",2,1,3.16227766016838,4
"237","43R",2,1,3,3
"238","43R",2,1,4.12310562561766,5
"239","43R",2,1,8.48528137423857,12
"240","43R",2,1,2,2
"241","43R",2,1,1,1
"242","43R",2,1,7.07106781186548,8
"243","43R",2,1,7.07106781186548,8
"244","43R",2,1,6.70820393249937,9
"245","43R",2,1,5.09901951359278,6
"246","43R",2,1,4,4
"247","43R",2,1,4,4
"248","43R",2,1,8.24621125123532,10
"249","43R",2,1,6.32455532033676,8
"250","43R",2,1,6.70820393249937,9
"251","43R",2,1,4.47213595499958,6
"252","43R",2,0,5.09901951359278,6
"253","43R",2,1,6.08276253029822,7
"254","43R",2,1,4.47213595499958,6
"255","43R",2,1,8.60232526704263,12
"256","43R",2,1,3,3
"257","43R",2,1,8.94427190999916,12
"258","43R",2,1,6.08276253029822,7
"259","43R",2,1,6,6
